Ticker,Date/Time,OtC_Pct
MCHI,15/11/2022,0.0040
MCHI,16/11/2022,0.0107
MCHI,17/11/2022,-0.0416
MCHI,18/11/2022,0.0088
PBD,29/07/2022,-0.0178
PBD,01/08/2022,0.0000
PBD,02/08/2022,-0.0219
PBD,03/08/2022,-0.0004
PBD,04/08/2022,-0.0152
PBD,05/08/2022,-0.0134
PBD,08/08/2022,-0.0004
PBD,09/08/2022,0.0110
PBD,10/08/2022,-0.0251
PBD,11/08/2022,0.0069
PBD,12/08/2022,-0.0258
PBD,15/08/2022,0.0024
PBD,16/08/2022,0.0096
PBD,17/08/2022,0.0164
PBD,18/08/2022,-0.0075
PBD,19/08/2022,0.0296
PBD,22/08/2022,0.0131
PBD,23/08/2022,-0.0044
PBD,24/08/2022,-0.0250
PBD,25/08/2022,-0.0119
PBD,26/08/2022,0.0317
PBD,29/08/2022,0.0039
PBD,30/08/2022,0.0164
PBD,31/08/2022,-0.0053
PBD,01/09/2022,0.0155
PBD,02/09/2022,0.0284
PBD,06/09/2022,0.0055
PBD,07/09/2022,-0.0338
PBD,08/09/2022,-0.0129
PBD,09/09/2022,-0.0078
PBD,12/09/2022,-0.0009
PBD,13/09/2022,0.0026
PBD,14/09/2022,-0.0128
PBD,15/09/2022,0.0145
PBD,16/09/2022,0.0027
PBD,19/09/2022,-0.0097
PBD,20/09/2022,0.0185
PBD,21/09/2022,0.0080
PBD,22/09/2022,0.0275
PBD,23/09/2022,0.0185
PBD,26/09/2022,0.0051
PBD,27/09/2022,0.0031
PBD,28/09/2022,-0.0221
PBD,29/09/2022,0.0296
PBD,30/09/2022,-0.0032
PBD,03/10/2022,-0.0151
PBD,04/10/2022,-0.0239
PBD,05/10/2022,0.0183
PBD,06/10/2022,0.0187
PBD,07/10/2022,0.0234
PBD,10/10/2022,0.0176
PBD,11/10/2022,0.0066
PBD,12/10/2022,0.0133
PBD,13/10/2022,-0.0390
PBD,14/10/2022,0.0345
PBD,17/10/2022,-0.0072
PBD,18/10/2022,0.0091
PBD,19/10/2022,0.0126
PBD,20/10/2022,0.0105
PBD,21/10/2022,-0.0258
PBD,24/10/2022,0.0094
PBD,25/10/2022,-0.0379
PBD,26/10/2022,-0.0101
PBD,27/10/2022,0.0000
PBD,28/10/2022,-0.0080
PBD,31/10/2022,0.0026
PBD,01/11/2022,0.0286
PBD,02/11/2022,0.0310
PBD,03/11/2022,-0.0168
PBD,04/11/2022,0.0016
PBD,07/11/2022,0.0179
PBD,08/11/2022,-0.0088
PBD,09/11/2022,0.0134
PBD,10/11/2022,-0.0330
PBD,11/11/2022,-0.0135
PBD,14/11/2022,0.0115
PBD,15/11/2022,0.0071
PBD,16/11/2022,0.0128
PBD,17/11/2022,-0.0029
PBD,18/11/2022,0.0049
SPY,29/07/2022,-0.0108
SPY,01/08/2022,-0.0040
SPY,02/08/2022,0.0026
SPY,03/08/2022,-0.0101
SPY,04/08/2022,0.0005
SPY,05/08/2022,-0.0093
SPY,08/08/2022,0.0054
SPY,09/08/2022,0.0021
SPY,10/08/2022,-0.0029
SPY,11/08/2022,0.0071
SPY,12/08/2022,-0.0120
SPY,15/08/2022,-0.0096
SPY,16/08/2022,-0.0046
SPY,17/08/2022,-0.0017
SPY,18/08/2022,-0.0024
SPY,19/08/2022,0.0067
SPY,22/08/2022,0.0089
SPY,23/08/2022,0.0013
SPY,24/08/2022,-0.0038
SPY,25/08/2022,-0.0103
SPY,26/08/2022,0.0336
SPY,29/08/2022,-0.0011
SPY,30/08/2022,0.0140
SPY,31/08/2022,0.0119
SPY,01/09/2022,-0.0090
SPY,02/09/2022,0.0201
SPY,06/09/2022,0.0060
SPY,07/09/2022,-0.0188
SPY,08/09/2022,-0.0126
SPY,09/09/2022,-0.0096
SPY,12/09/2022,-0.0054
SPY,13/09/2022,0.0217
SPY,14/09/2022,-0.0003
SPY,15/09/2022,0.0072
SPY,16/09/2022,-0.0037
SPY,19/09/2022,-0.0165
SPY,20/09/2022,0.0025
SPY,21/09/2022,0.0226
SPY,22/09/2022,0.0063
SPY,23/09/2022,0.0071
SPY,26/09/2022,0.0057
SPY,27/09/2022,0.0126
SPY,28/09/2022,-0.0169
SPY,29/09/2022,0.0110
SPY,30/09/2022,0.0128
SPY,03/10/2022,-0.0153
SPY,04/10/2022,-0.0150
SPY,05/10/2022,-0.0099
SPY,06/10/2022,0.0064
SPY,07/10/2022,0.0167
SPY,10/10/2022,0.0108
SPY,11/10/2022,0.0014
SPY,12/10/2022,0.0045
SPY,13/10/2022,-0.0480
SPY,14/10/2022,0.0296
SPY,17/10/2022,-0.0077
SPY,18/10/2022,0.0107
SPY,19/10/2022,0.0013
SPY,20/10/2022,0.0071
SPY,21/10/2022,-0.0251
SPY,24/10/2022,-0.0079
SPY,25/10/2022,-0.0162
SPY,26/10/2022,-0.0010
SPY,27/10/2022,0.0081
SPY,28/10/2022,-0.0241
SPY,31/10/2022,0.0006
SPY,01/11/2022,0.0144
SPY,02/11/2022,0.0235
SPY,03/11/2022,0.0012
SPY,04/11/2022,0.0017
SPY,07/11/2022,-0.0059
SPY,08/11/2022,-0.0023
SPY,09/11/2022,0.0153
SPY,10/11/2022,-0.0171
SPY,11/11/2022,-0.0074
SPY,14/11/2022,0.0039
SPY,15/11/2022,0.0066
SPY,16/11/2022,0.0034
SPY,17/11/2022,-0.0097
SPY,18/11/2022,0.0043
USO,29/07/2022,0.0141
USO,01/08/2022,-0.0045
USO,02/08/2022,0.0013
USO,03/08/2022,0.0361
USO,04/08/2022,0.0178
USO,05/08/2022,-0.0153
USO,08/08/2022,-0.0272
USO,09/08/2022,0.0101
USO,10/08/2022,-0.0146
USO,11/08/2022,-0.0059
USO,12/08/2022,0.0048
USO,15/08/2022,-0.0209
USO,16/08/2022,0.0197
USO,17/08/2022,-0.0056
USO,18/08/2022,-0.0084
USO,19/08/2022,-0.0001
USO,22/08/2022,-0.0260
USO,23/08/2022,-0.0132
USO,24/08/2022,-0.0155
USO,25/08/2022,0.0235
USO,26/08/2022,-0.0052
USO,29/08/2022,-0.0217
USO,30/08/2022,0.0148
USO,31/08/2022,0.0099
USO,01/09/2022,0.0158
USO,02/09/2022,0.0239
USO,06/09/2022,0.0127
USO,07/09/2022,0.0224
USO,08/09/2022,0.0066
USO,09/09/2022,-0.0109
USO,12/09/2022,0.0036
USO,13/09/2022,0.0014
USO,14/09/2022,-0.0001
USO,15/09/2022,0.0187
USO,16/09/2022,0.0061
USO,19/09/2022,-0.0359
USO,20/09/2022,0.0046
USO,21/09/2022,0.0257
USO,22/09/2022,0.0206
USO,23/09/2022,0.0087
USO,26/09/2022,0.0332
USO,27/09/2022,-0.0019
USO,28/09/2022,-0.0287
USO,29/09/2022,0.0080
USO,30/09/2022,0.0055
USO,03/10/2022,0.0103
USO,04/10/2022,-0.0053
USO,05/10/2022,-0.0110
USO,06/10/2022,-0.0174
USO,07/10/2022,-0.0250
USO,10/10/2022,0.0201
USO,11/10/2022,0.0112
USO,12/10/2022,0.0069
USO,13/10/2022,-0.0303
USO,14/10/2022,0.0172
USO,17/10/2022,0.0146
USO,18/10/2022,0.0095
USO,19/10/2022,-0.0170
USO,20/10/2022,0.0128
USO,21/10/2022,-0.0060
USO,24/10/2022,-0.0020
USO,25/10/2022,-0.0003
USO,26/10/2022,-0.0226
USO,27/10/2022,0.0009
USO,28/10/2022,-0.0015
USO,31/10/2022,-0.0020
USO,01/11/2022,0.0092
USO,02/11/2022,-0.0131
USO,03/11/2022,-0.0033
USO,04/11/2022,-0.0037
USO,07/11/2022,0.0036
USO,08/11/2022,0.0236
USO,09/11/2022,0.0205
USO,10/11/2022,-0.0081
USO,11/11/2022,0.0020
