Ticker,Date/Time,SIGNAL_MACD,MA_RSI,Close-To_Mid,Price
SET50,07/12/2012,13.75,59.76,50.41,905.71
SET50,14/12/2012,14.06,61.75,62.71,922.86
SET50,21/12/2012,14.62,64.51,63.59,934.21
SET50,28/12/2012,15.42,67.51,62.90,945.39
SET50,04/01/2013,16.43,69.57,67.95,958.42
SET50,11/01/2013,17.42,70.69,57.78,950.08
SET50,18/01/2013,18.40,71.47,64.49,959.56
SET50,25/01/2013,19.48,72.41,74.65,977.53
SET50,01/02/2013,20.84,73.69,90.51,1005.09
SET50,08/02/2013,22.17,73.84,65.34,995.90
SET50,15/02/2013,23.47,74.93,71.20,1006.06
SET50,22/02/2013,24.74,75.92,79.39,1014.25
SET50,01/03/2013,25.86,76.27,74.55,1013.15
SET50,08/03/2013,26.90,76.26,87.12,1025.72
SET50,15/03/2013,28.00,77.44,101.80,1045.26
SET50,22/03/2013,28.29,73.82,25.79,977.04
SET50,29/03/2013,28.49,71.47,73.30,1024.92
SET50,05/04/2013,28.11,67.37,30.85,982.48
SET50,12/04/2013,27.58,63.65,54.36,1007.45
SET50,19/04/2013,27.03,59.78,58.74,1018.36
SET50,26/04/2013,26.73,61.13,71.38,1044.82
SET50,03/05/2013,26.52,60.89,64.18,1042.70
SET50,10/05/2013,26.68,63.33,88.20,1076.13
SET50,17/05/2013,27.06,65.11,74.60,1079.78
SET50,23/05/2013,27.34,65.85,54.09,1064.49
SET50,31/05/2013,27.10,64.34,12.87,1029.01
SET50,07/06/2013,26.23,62.09,-11.47,1007.39
SET50,14/06/2013,24.64,58.05,-45.97,978.87
SET50,21/06/2013,22.19,52.80,-59.11,940.65
SET50,28/06/2013,19.71,49.73,-16.78,982.99
SET50,05/07/2013,17.23,48.04,-20.53,977.53
SET50,12/07/2013,14.97,47.65,-6.46,991.60
SET50,19/07/2013,13.09,48.66,6.88,1004.94
SET50,26/07/2013,11.48,50.72,4.87,1002.93
SET50,02/08/2013,9.72,50.14,-31.08,966.98
SET50,09/08/2013,7.94,49.83,-28.36,969.70
SET50,16/08/2013,6.35,49.48,-16.98,981.08
SET50,23/08/2013,4.17,46.61,-89.09,908.97
SET50,30/08/2013,1.40,43.23,-114.43,882.98
SET50,06/09/2013,-1.27,42.20,-65.57,913.56
SET50,13/09/2013,-3.28,42.47,-21.88,957.25
SET50,20/09/2013,-4.12,43.85,38.17,1017.30
SET50,27/09/2013,-4.68,46.03,-11.62,967.51
SET50,04/10/2013,-4.96,48.94,-6.01,973.12
SET50,11/10/2013,-4.80,51.28,16.88,996.01
SET50,18/10/2013,-4.14,52.68,45.47,1014.42
SET50,25/10/2013,-3.43,51.89,44.65,992.01
SET50,01/11/2013,-2.86,52.00,31.19,977.27
SET50,08/11/2013,-2.60,51.52,14.60,960.68
SET50,15/11/2013,-2.42,50.78,24.99,971.07
SET50,22/11/2013,-2.78,48.43,-19.01,927.07
SET50,29/11/2013,-3.37,46.99,-10.86,935.22
SET50,06/12/2013,-4.15,45.78,-17.10,928.98
SET50,13/12/2013,-5.18,44.60,-33.13,912.95
SET50,20/12/2013,-6.26,43.26,-25.93,916.83
SET50,27/12/2013,-7.68,42.21,-59.36,883.40
SET50,03/01/2014,-9.81,39.76,-112.88,829.89
SET50,10/01/2014,-11.97,38.53,-61.78,858.25
SET50,17/01/2014,-13.75,38.60,-35.62,883.94
SET50,24/01/2014,-14.99,39.01,-20.68,898.88
SET50,31/01/2014,-16.16,39.49,-53.22,866.34
SET50,07/02/2014,-17.04,41.56,-39.87,879.69
SET50,13/02/2014,-17.55,42.93,-25.20,890.01
SET50,21/02/2014,-17.82,43.22,-32.15,883.06
SET50,28/02/2014,-17.71,43.61,-15.70,899.51
SET50,07/03/2014,-17.14,45.39,1.76,916.97
SET50,14/03/2014,-16.13,47.09,13.18,928.10
SET50,21/03/2014,-14.95,48.13,12.27,919.32
SET50,28/03/2014,-13.57,49.74,28.91,929.84
SET50,04/04/2014,-11.91,51.33,49.41,946.53
SET50,11/04/2014,-10.17,52.21,46.33,943.45
SET50,18/04/2014,-8.27,53.20,73.00,957.17
SET50,25/04/2014,-6.39,54.33,64.68,953.36
SET50,02/05/2014,-4.49,55.49,72.36,964.36
SET50,09/05/2014,-2.95,54.78,43.41,935.41
SET50,16/05/2014,-1.51,54.95,63.53,955.52
SET50,23/05/2014,-0.32,54.16,52.14,944.13
SET50,30/05/2014,0.75,53.84,60.21,952.20
SET50,06/06/2014,2.02,54.25,74.82,983.64
SET50,13/06/2014,3.29,55.67,57.94,977.89
SET50,20/06/2014,4.58,56.58,63.03,984.82
SET50,27/06/2014,5.94,58.43,70.29,997.61
SET50,04/07/2014,7.33,60.16,65.91,1003.64
SET50,10/07/2014,8.86,61.35,77.86,1021.06
SET50,18/07/2014,10.47,63.10,81.38,1030.19
SET50,25/07/2014,12.08,64.72,64.70,1033.82
SET50,01/08/2014,13.28,64.19,34.43,1005.23
